time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),서울시(대곡교)_WL,성남시(궁내교)_WL,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2020-08-06 0:10,1,0,0,2,0,3,2.26,1.22,1.062,1.159,30.675,35.965
2020-08-06 0:20,1,0,1,0,1,2,2.26,1.22,0.804,0.573,31.479,36.538
2020-08-06 0:30,0,1,1,0,0,0,2.26,1.22,0.389,0,31.868,36.538
2020-08-06 0:40,0,0,0,2,0,2,2.26,1.22,0.65,1.098,32.518,37.636
2020-08-06 0:50,2,0,1,0,1,1,2.27,1.22,0.714,0.512,33.232,38.148
2020-08-06 1:00,0,1,0,1,2,0,2.27,1.22,0.697,1.39,33.929,39.538
2020-08-06 1:10,0,0,1,0,1,2,2.29,1.24,0.643,0.573,34.572,40.111
2020-08-06 1:20,1,1,0,2,1,2,2.31,1.25,1.309,1.549,35.881,41.66
2020-08-06 1:30,1,1,2,1,1,2,2.33,1.27,1.267,1.061,37.148,42.721
2020-08-06 1:40,1,0,1,1,0,2,2.35,1.28,0.753,0.61,37.901,43.331
2020-08-06 1:50,1,1,0,1,0,2,2.37,1.3,1.11,0.61,39.011,43.941
2020-08-06 2:00,1,0,1,0,0,0,2.39,1.32,0.177,0,39.188,43.941
2020-08-06 2:10,0,0,1,0,0,2,2.42,1.33,0.518,0.122,39.706,44.063
2020-08-06 2:20,0,0,0,1,1,1,2.46,1.34,0.45,1,40.156,45.063
2020-08-06 2:30,1,0,0,1,0,2,2.51,1.34,0.737,0.61,40.893,45.673
2020-08-06 2:40,0,1,1,1,1,1,2.55,1.34,0.839,1,41.732,46.673
2020-08-06 2:50,2,1,0,3,2,4,2.59,1.34,2.171,2.61,43.903,49.283
2020-08-06 3:00,2,1,2,2,1,2,2.62,1.35,1.502,1.549,45.405,50.832
2020-08-06 3:10,2,2,1,2,5,4,2.65,1.36,2.861,3.475,48.266,54.307
2020-08-06 3:20,3,3,5,4,3,2,2.69,1.39,2.855,3.427,51.121,57.734
2020-08-06 3:30,2,3,4,2,3,2,2.76,1.42,2.53,2.451,53.651,60.185
2020-08-06 3:40,2,2,1,2,2,1,2.83,1.46,1.733,1.939,55.384,62.124
2020-08-06 3:50,1,1,2,0,1,0,2.93,1.51,0.691,0.451,56.075,62.575
2020-08-06 4:00,0,0,0,1,1,2,3.06,1.57,0.701,1.061,56.776,63.636
2020-08-06 4:10,2,1,1,2,2,2,3.17,1.63,1.611,2,58.387,65.636
2020-08-06 4:20,2,3,2,5,4,4,3.26,1.67,3.347,4.488,61.734,70.124
2020-08-06 4:30,4,3,3,4,6,6,3.34,1.69,4.363,5.024,66.097,75.148
2020-08-06 4:40,7,5,4,5,7,7,3.4,1.73,6.058,6.024,72.155,81.172
2020-08-06 4:50,8,6,7,2,4,7,3.51,1.81,6.043,3.207,78.198,84.379
2020-08-06 5:00,8,4,6,5,4,7,3.69,1.92,5.503,4.671,83.701,89.05
2020-08-06 5:10,8,4,6,5,3,6,3.97,2.04,5.127,4.159,88.828,93.209
2020-08-06 5:20,4,5,5,5,6,4,4.26,2.13,4.713,5.39,93.541,98.599
2020-08-06 5:30,2,3,4,6,6,4,4.48,2.19,3.703,5.878,97.244,104.477
2020-08-06 5:40,3,3,4,8,9,6,4.63,2.28,4.889,8.329,102.133,112.806
2020-08-06 5:50,4,6,5,10,6,7,4.73,2.4,6.209,8.013,108.342,120.819
2020-08-06 6:00,4,5,6,8,10,5,4.84,2.53,5.702,8.719,114.044,129.538
2020-08-06 6:10,6,6,6,9,12,8,4.96,2.7,7.474,10.292,121.518,139.83
2020-08-06 6:20,4,4,5,5,9,3,5.09,2.92,4.464,6.682,125.982,146.512
2020-08-06 6:30,2,2,4,3,6,4,5.24,3.13,3.108,4.414,129.09,150.926
2020-08-06 6:40,0,2,1,3,2,5,5.43,3.3,2.489,2.671,131.579,153.597
2020-08-06 6:50,2,2,2,3,1,2,5.58,3.4,1.949,2.037,133.528,155.634
2020-08-06 7:00,2,2,4,5,1,2,5.75,3.41,2.129,3.013,135.657,158.647
2020-08-06 7:10,1,1,1,4,5,2,5.89,3.37,1.973,4.329,137.63,162.976
2020-08-06 7:20,1,1,1,3,3,1,6.04,3.31,1.398,2.878,139.028,165.854
2020-08-06 7:30,1,3,2,1,4,1,6.14,3.23,2.137,2.353,141.165,168.207
2020-08-06 7:40,0,1,0,0,1,0,6.22,3.17,0.498,0.451,141.663,168.658
2020-08-06 7:50,0,0,1,0,1,0,6.28,3.11,0.141,0.451,141.804,169.109
2020-08-06 8:00,0,0,0,0,0,0,6.28,3.06,0,0,141.804,169.109
2020-08-06 8:10,0,0,0,1,0,0,6.29,3,0.074,0.488,141.878,169.597
2020-08-06 8:20,0,0,0,0,0,0,6.22,2.93,0,0,141.878,169.597
2020-08-06 8:30,0,0,0,0,0,0,6.14,2.86,0,0,141.878,169.597
2020-08-06 8:40,0,0,0,0,0,0,6.08,2.78,0,0,141.878,169.597
2020-08-06 8:50,0,0,0,1,0,0,5.98,2.7,0.074,0.488,141.952,170.085
2020-08-06 9:00,0,0,0,1,0,1,5.87,2.62,0.325,0.549,142.277,170.634
2020-08-06 9:10,1,1,0,0,1,1,5.71,2.55,0.91,0.512,143.187,171.146
2020-08-06 9:20,0,0,1,1,4,0,5.57,2.48,0.59,2.292,143.777,173.438
2020-08-06 9:30,0,0,0,2,2,0,5.47,2.42,0.398,1.878,144.175,175.316
2020-08-06 9:40,0,0,0,0,2,0,5.37,2.39,0.25,0.902,144.425,176.218
2020-08-06 9:50,0,0,0,0,1,0,5.24,2.38,0.125,0.451,144.55,176.669
2020-08-06 10:00,0,0,0,0,1,0,5.13,2.39,0.125,0.451,144.675,177.12
2020-08-06 10:10,0,0,0,0,0,0,5.01,2.42,0,0,144.675,177.12
2020-08-06 10:20,0,0,0,0,0,0,4.87,2.45,0,0,144.675,177.12
2020-08-06 10:30,0,0,0,1,0,0,4.75,2.46,0.074,0.488,144.749,177.608
2020-08-06 10:40,0,0,0,0,0,0,4.59,2.46,0,0,144.749,177.608
2020-08-06 10:50,0,0,0,0,0,0,4.48,2.43,0,0,144.749,177.608
2020-08-06 11:00,0,0,0,0,0,0,4.42,2.38,0,0,144.749,177.608
2020-08-06 11:10,0,0,0,0,0,0,4.36,2.33,0,0,144.749,177.608
2020-08-06 11:20,0,0,0,0,0,0,4.3,2.27,0,0,144.749,177.608
2020-08-06 11:30,0,0,0,0,0,1,4.26,2.22,0.251,0.061,145,177.669
2020-08-06 11:40,0,0,0,0,0,0,4.25,2.18,0,0,145,177.669
2020-08-06 11:50,0,0,0,0,0,0,4.18,2.14,0,0,145,177.669
2020-08-06 12:00,0,0,0,0,0,0,4.18,2.11,0,0,145,177.669
